Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,15.660000,16.500000,13.310000,14.250000,14.250000,0
2019-10-21,14.240000,15.120000,12.620000,12.650000,12.650000,0
2019-10-28,13.010000,13.950000,12.260000,12.300000,12.300000,0
2019-11-04,12.680000,13.390000,12.000000,12.070000,12.070000,0
2019-11-11,13.150000,13.900000,11.920000,12.050000,12.050000,0
2019-11-18,12.390000,14.170000,12.160000,12.340000,12.340000,0
2019-11-25,12.510000,12.830000,11.420000,12.620000,12.620000,0
2019-12-02,12.690000,17.990000,12.550000,13.620000,13.620000,0
2019-12-09,14.250000,16.900000,12.250000,12.630000,12.630000,0
2019-12-16,12.470000,12.780000,11.710000,12.510000,12.510000,0
2019-12-23,12.810000,13.720000,11.720000,13.430000,13.430000,0
2019-12-30,13.740000,16.200001,12.420000,14.020000,14.020000,0
2020-01-06,15.450000,16.389999,12.090000,12.560000,12.560000,0
2020-01-13,12.840000,13.820000,11.750000,12.100000,12.100000,0
2020-01-20,13.230000,15.980000,12.310000,14.560000,14.560000,0
2020-01-27,17.420000,19.990000,14.940000,18.840000,18.840000,0
2020-02-03,18.639999,18.879999,14.700000,15.470000,15.470000,0
2020-02-10,15.880000,16.430000,13.380000,13.680000,13.680000,0
2020-02-17,14.980000,18.209999,14.210000,17.080000,17.080000,0
2020-02-24,22.250000,49.480000,22.000000,40.110001,40.110001,0
2020-03-02,38.540001,54.389999,24.930000,41.939999,41.939999,0
2020-03-09,41.939999,77.570000,41.939999,57.830002,57.830002,0
2020-03-16,57.830002,85.470001,57.419998,66.040001,66.040001,0
2020-03-23,74.080002,76.739998,36.240002,65.540001,65.540001,0
2020-03-30,66.300003,67.690002,46.740002,46.799999,46.799999,0
2020-04-06,44.169998,47.509998,41.389999,41.669998,41.669998,0
2020-04-13,44.599998,45.040001,37.310001,38.150002,38.150002,0
2020-04-20,40.680000,47.770000,35.599998,35.930000,35.930000,0
2020-04-27,36.290001,39.570000,30.540001,37.189999,37.189999,0
2020-05-04,39.130001,40.320000,27.889999,27.980000,27.980000,0
2020-05-11,28.459999,39.279999,26.000000,31.889999,31.889999,0
2020-05-18,30.709999,31.549999,27.670000,28.160000,28.160000,0
2020-05-25,27.719999,30.530001,25.920000,27.510000,27.510000,0
2020-06-01,28.940001,30.600000,23.540001,24.520000,24.520000,0
2020-06-08,25.559999,44.160000,24.650000,36.090000,36.090000,0
2020-06-15,44.090000,44.439999,30.400000,35.119999,35.119999,0
2020-06-22,35.220001,37.119999,29.260000,34.730000,34.730000,0
2020-06-29,35.049999,36.310001,25.900000,27.680000,27.680000,0
2020-07-06,27.760000,31.480000,24.920000,27.290001,27.290001,0
2020-07-13,27.850000,33.669998,25.410000,25.680000,25.680000,0
2020-07-20,26.940001,28.580000,23.600000,25.840000,25.840000,0
2020-07-27,26.600000,28.290001,23.549999,24.459999,24.459999,0
2020-08-03,25.750000,26.010000,20.969999,22.209999,22.209999,0
2020-08-10,22.879999,24.930000,20.280001,22.049999,22.049999,0
2020-08-17,22.520000,24.600000,20.990000,22.540001,22.540001,0
2020-08-24,22.870001,27.090000,20.920000,22.959999,22.959999,0
2020-08-31,23.910000,38.279999,21.770000,30.750000,30.750000,0
2020-09-07,30.610001,35.930000,26.510000,26.870001,26.870001,0
2020-09-14,25.860001,28.920000,24.840000,25.830000,25.830000,0
2020-09-21,28.040001,31.180000,25.190001,26.379999,26.379999,0
2020-09-28,27.150000,29.900000,24.900000,27.629999,27.629999,0
2020-10-05,29.520000,30.000000,24.030001,25.000000,25.000000,0
2020-10-12,25.650000,29.059999,24.139999,27.410000,27.410000,0
2020-10-19,27.360001,30.549999,27.040001,27.549999,27.549999,0
2020-10-26,29.379999,41.160000,29.219999,38.020000,38.020000,0
2020-11-02,38.570000,38.779999,24.559999,24.860001,24.860001,0
2020-11-09,24.799999,27.270000,22.410000,23.100000,23.100000,0
2020-11-16,23.660000,24.520000,21.660000,23.700001,23.700001,0
2020-11-23,23.660000,23.959999,19.510000,20.840000,20.840000,0
2020-11-30,22.639999,22.889999,19.969999,20.790001,20.790001,0
2020-12-07,22.040001,25.139999,20.100000,23.309999,23.309999,0
2020-12-14,22.670000,24.820000,21.520000,21.570000,21.570000,0
2020-12-21,24.250000,31.459999,21.389999,21.530001,21.530001,0
2020-12-28,22.110001,23.719999,20.990000,22.770000,22.770000,0
