Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,8559.650391,8705.910156,8559.650391,8665.469727,8665.469727,7549730000
2019-12-02,8672.839844,8672.839844,8435.400391,8656.530273,8656.530273,10908330000
2019-12-09,8650.860352,8768.870117,8600.820313,8734.879883,8734.879883,10780740000
2019-12-16,8791.309570,8931.910156,8789.769531,8924.959961,8924.959961,13769920000
2019-12-23,8950.200195,9052.000000,8934.360352,9006.620117,9006.620117,6516900000
2019-12-30,9004.450195,9093.429688,8909.190430,9020.769531,9020.769531,9687370000
2020-01-06,8943.500000,9235.200195,8943.500000,9178.860352,9178.860352,12588670000
2020-01-13,9213.719727,9393.480469,9193.059570,9388.940430,9388.940430,12387850000
2020-01-20,9361.070313,9451.429688,9273.230469,9314.910156,9314.910156,10230010000
2020-01-27,9092.459961,9329.120117,9088.040039,9150.940430,9150.940430,12039010000
2020-02-03,9190.719727,9575.660156,9188.549805,9520.509766,9520.509766,11902480000
2020-02-10,9493.629883,9748.320313,9493.629883,9731.179688,9731.179688,11485690000
2020-02-17,9679.040039,9838.370117,9542.330078,9576.589844,9576.589844,10246170000
2020-02-24,9188.440430,9322.879883,8264.160156,8567.370117,8567.370117,20251980000
2020-03-02,8667.139648,9070.320313,8375.129883,8575.620117,8575.620117,20277070000
2020-03-09,7957.930176,8347.400391,7194.669922,7874.879883,7874.879883,23104400000
2020-03-16,7392.729980,7422.200195,6686.359863,6879.520020,6879.520020,24512120000
2020-03-23,6847.279785,7809.830078,6631.419922,7502.379883,7502.379883,21476910000
2020-03-30,7583.459961,7880.310059,7288.109863,7373.080078,7373.080078,18566200000
2020-04-06,7660.169922,8227.910156,7617.790039,8153.580078,8153.580078,15567990000
2020-04-13,8127.689941,8670.299805,8035.950195,8650.139648,8650.139648,18706100000
2020-04-20,8553.379883,8684.910156,8215.690430,8634.519531,8634.519531,18112980000
2020-04-27,8717.980469,8957.269531,8566.839844,8604.950195,8604.950195,19909430000
2020-05-04,8555.320313,9125.980469,8537.830078,9121.320313,9121.320313,18634290000
2020-05-11,9054.910156,9250.959961,8705.250000,9014.559570,9014.559570,20741830000
2020-05-18,9177.150391,9405.250000,9154.349609,9324.589844,9324.589844,20264210000
2020-05-25,9501.209961,9523.639648,9144.280273,9489.870117,9489.870117,17794010000
2020-06-01,9471.419922,9845.690430,9462.320313,9814.080078,9814.080078,25265930000
2020-06-08,9823.440430,10086.889648,9413.620117,9588.809570,9588.809570,26377480000
2020-06-15,9426.900391,10053.910156,9403.000000,9946.120117,9946.120117,23854180000
2020-06-22,9945.490234,10221.849609,9749.070313,9757.219727,9757.219727,27940280000
2020-06-29,9771.719727,10310.360352,9663.610352,10207.629883,10207.629883,17509830000
2020-07-06,10360.379883,10622.349609,10337.980469,10617.440430,10617.440430,20488290000
2020-07-13,10729.919922,10824.780273,10182.459961,10503.190430,10503.190430,22599960000
2020-07-20,10526.019531,10839.929688,10217.309570,10363.179688,10363.179688,22529270000
2020-07-27,10421.700195,10747.799805,10397.870117,10745.269531,10745.269531,20773410000
2020-08-03,10848.639648,11126.040039,10831.150391,11010.980469,11010.980469,20765080000
2020-08-10,11033.730469,11124.849609,10762.709961,11019.299805,11019.299805,19120150000
2020-08-17,11083.250000,11326.209961,11080.299805,11311.799805,11311.799805,18084360000
2020-08-24,11449.250000,11730.009766,11297.530273,11695.629883,11695.629883,17414490000
2020-08-31,11718.809570,12074.059570,10875.870117,11313.129883,11313.129883,19854920000
2020-09-07,10900.700195,11299.530273,10728.030273,10853.549805,10853.549805,14926340000
2020-09-14,11010.139648,11245.419922,10639.950195,10793.280273,10793.280273,20700940000
2020-09-21,10610.139648,10979.650391,10519.490234,10913.559570,10913.559570,19385360000
2020-09-28,11084.379883,11344.129883,11019.139648,11075.019531,11075.019531,18978820000
2020-10-05,11169.110352,11581.230469,11124.450195,11579.940430,11579.940430,18937450000
2020-10-12,11732.330078,11965.540039,11559.099609,11671.559570,11671.559570,17421820000
2020-10-19,11732.339844,11778.110352,11369.290039,11548.280273,11548.280273,17034370000
2020-10-26,11440.639648,11545.629883,10822.570313,10911.589844,10911.589844,17156350000
2020-11-02,11010.450195,11924.280273,10830.950195,11895.230469,11895.230469,18077720000
2020-11-09,12046.660156,12108.070313,11424.610352,11829.290039,11829.290039,21996040000
2020-11-16,11847.110352,11950.179688,11760.980469,11854.969727,11854.969727,23785180000
2020-11-23,11916.759766,12236.230469,11796.530273,12205.849609,12205.849609,19663300000
2020-11-30,12224.250000,12464.230469,12027.160156,12464.230469,12464.230469,29764650000
2020-12-07,12461.000000,12607.139648,12214.740234,12377.870117,12377.870117,23561010000
2020-12-14,12447.440430,12809.599609,12432.709961,12755.639648,12755.639648,25663910000
2020-12-21,12596.139648,12841.919922,12525.219727,12804.730469,12804.730469,21410920000
2020-12-28,12914.639648,12973.330078,12821.959961,12870.000000,12870.000000,15179070000
